Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2015-08-16,13:41:49.640,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:49.840,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:50.040,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:50.240,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:50.440,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:50.640,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:50.840,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:51.040,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:51.240,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:51.440,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:51.640,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:51.840,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:52.040,-3,0,6,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:52.240,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:52.440,-3,0,6,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:52.640,-2,0,6,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:52.840,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:53.040,-2,0,4,1,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:53.240,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:53.440,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:53.730,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:53.970,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
